signer,blockTime,sig,swapToToken,swapFromToken,swapToTokenAmount,swapFromTokenAmount
6rZAnfEDJnik2yYpRnUbQpRtZUqwiUMPiRsa4cxwdBEK,1650300139,4k9Nr7hzR5Rd8zGXjfkWgCvcB5okJuuKqQ2uqDT1LeQ85KU8ezfYwYxKFAGwqVLtrF4rncoyDJucvEfYZUBWbiKM,USDC,ORCA,127.353495,70
VNgWWDrs2UBPmd86gz5CqfRv5Wk6MJF3TvTTyfZa3N5,1650302124,3EmKAGCY7EEZPXr2GcKh4ET7SfyuUuqJ3Tm3PkDjrp7x1jxBNbE7Jaib8bCotacVieHMzXntTRLm7uimQva8rvqw,USDC,GST,2715.960365,614.9999999
2GmhDsxqHt7uwkzCwrDMW5UfrGwo229awoSQxsgNQKks,1650340834,3f6QFDjfFVUwYs6Fb6juBuSNqHgFfX47DhznPi2yVZPHsmhJexDv2gjVkgPbSEpFgoWZBxDUHo3JvhzcdSwEPjg6,USDC,GST,1857.005546,410.3399998
4p5hoFEXLNFkRhhDhPwaQpWX7366gHmRsoSGUYMqCnyX,1650333067,B8XMMkE1uAc4AkHoq6FUhKf3NCJUEufQoqLEMhLBHPS4nhe3c94MwDTGn5TLYXH3pJ28oqexAn3ZeX4hEoCH65y,GST,USDC,99.99959643,440.181106
9PfiJLknjPqVCtrx8uxBF2UsD1ez1UMcN69mDZ4hVBoR,1650333521,3Wippw2UoNn418BJL6wyCV22oEkshdPzmX22pq2BJN6YUpxm346rFbExgJwfeaQidCreuN15gcpPSvMd4KTCqQwd,USDC,GST,0.873606,176.99
FKF6xMqxwGP2m4pAmEUjV2wcwCBVSpGh2jZMEq43nvE1,1650341869,4hx4KrraRqgSB6x669mGgLAdKi4dF98jw8RMeDjXbN5JiVVt1WJzLwww5Ci6QYAeabKAx8SuRy7WHVbCb4qCrpnc,GMT,GST,13.5960105,9.999999846
CwyQtt6xGptR7PaxrrksgqBSRCZ3Zb2GjUYjKD9jH3tf,1650338505,2UMb2Laofao3L6QQwYrsu6X7LbNeAUbBj3HDNqbyjopG6bYNEHFnirjntXLcFUhQ8wF6QivEuD5ZYsF2wFXUxaSt,SOL,USDC,14.66366754,1495.26572
8kHgunJxJP9AopaECWYjCrEH9x2CFYSyDKZGP5uNa5LM,1650299608,4SYj5o3LmcEwcRqEx7DF7Km5DwQJpiK7EM7DtSmPbyB11GtFSPydZbYMTegbwboJ48fszBozn5GcEYUgToXHB58G,GMT,GST,0.154619245,0.099999953
9h8eVzswRBQLiSGxxCKqC6R1bmpvrBCXkbuKUYbKpCmm,1650333469,2CpPWwUvFQ7nKRqYeeYNx4KDWrugcZAbpJx5jyVpyFKMt53SV6wdPgp4PPdrUtX2wSn5bGTUbzCyZpb3ZBGmKo7,GMT,USDC,0.754884997,2.5555
AT4fB7TVpKLcyH5aPA4Ld5dqp8kqCMUY9gpWBJSXuUAk,1650297224,3GTK1mb8gt7WRGQazwgNYQUpWVwhfSpkhVVhX99zfJPC2Qnf8zFwCwqbZNkudux8kq7ZrdUiUFSJTVWvk1rUY1Zb,GST,USDC,4.551509065,20
DfkxS9cM8KgQpeh63tkteP1hLQ3fZ5vk2vRy8YRpYv4V,1650341853,3E3ncobuekiQWg1aEDFBZFJMNounKarwoZn8uu7SvuP1m4a3LhrCUbpWgD9DBaXT1vtDcRkpSPLNG9bobMsY1eap,GST,USDC,0.186720883,0.848514
CwyQtt6xGptR7PaxrrksgqBSRCZ3Zb2GjUYjKD9jH3tf,1650329964,4zcdw7JWXLd1f7bpzYrxskQm52iqDDzWNv6FuDoVWXHt8V2MC9DiuCni86VqRs36M6tSLExTQFUjYMwsx95t4JP2,SOL,USDC,14.42611234,1494.844648
8WWB3o31wfbt1FQU7GBNchBQ7rWWEi5Q1ytWL13REmL,1650299684,3RoUxni6iS3rsT8UKQSrrjWgBFUwLCdeRTYfwwQbK2VJNrr1ZZzFoi6iDXMDRxRsD9hEZKyjMH1axbYoAssDTwiU,GST,USDC,22.52137357,100
FpXP7A7UQv82tFiokXCM8iyUAZEPPKqFSfLbZeFqJj54,1650340583,uzrMAvQjUjcCM3KeZCmK3JbXx2PyrtiiAWZacKBMNbbynNmPHjAmTzDZSDVYhy7XGNxe3t9BJrYzfhhPVNa1cyz,GMT,GST,19.61047612,14.54999986
GzY3oKti69rjycGhNwqmxkgo2eFMogePnvFGAs2J5rp6,1650341247,5SVfjfkW6xErK9iHd3PNVjHLicxmLbTiJrVRwCWPNf5Eggxsos8PMUPsopRxqKjFhzgx3aLYEyP5gxpqRw6tGvVE,USDC,GMT,1.14619,155.9999999
CJ7EhHJw85JYdHRSrjhcFYT8eSXoGiGAqNKk4sPJwjAn,1650303016,3LdFDbtAsvmQYeBLhxGp1xFDZFuScwCfqEEPz9UtfDYhCyBYaaHVijpiZYjdD8iQSXxiSxUNJFgcmsvPvAaCSRfG,USDC,SRM,3.591581,1.56338
CwyQtt6xGptR7PaxrrksgqBSRCZ3Zb2GjUYjKD9jH3tf,1650304096,5FHEpwqKGEUte6Cowgr5VBFs48TMHvRmuA8uCPwx2mVEMj3MJD5WhNJA1GdSQQ9bbGkr7xoAahDJBYSjzfEHi5gU,SOL,USDC,14.87684571,1495.000599
3PCRwFhHd8tNADpYrJNXndvzvFjgbCj4WiPiDi2yZftU,1650295405,3z86VdfX4LUx5Z7R9NtJEy3if2YwSLCej8JW3yoncvn5mAXcXvNo3Ysiu9mcWodAaSwST1SRj3bv2j3re5Wmtesp,USDC,ETH,637.545802,0.218439
HfeULqCTuCcqkspNXGXQMMTgg6tf6hG7iyMuunE7uZc1,1650341735,5hgLFa2qKbNxUgTxjgJ8yymSSMwhTw9GJwCKe3o6CsHFHaG7ePZiSqNUND2gXge2at6c4bhTcV9SzVBMfenDv2x8,USDC,GST,2293.298818,507.9999999
3Db8YBB9zeowB6aojw5FvkWFrRphFWjYSRvYMnX34Wf7,1650332147,54srR5smLwaaA47vqikrkZV6mWixtdWPkpWkgMN5y3FphRHC8UEHYD7SFpRjeVLB36foFG1A3pJC3Fc5MnHKcL3H,USDC,GST,3191.711303,724.9999999
HdGsWDaxSDBesEYXmAYsG7WZYkKxUv3qhGJgmXSXnm3d,1650293557,5hQSzdGxafHxK1SPpDVxdwz4K3VK5y7T6VLi3VQSbrZebHAZPiz8WBgpCp2mw6pmJAX8uxVfB98dxbQnjwobdJCe,USDC,soFTT,10.781936,0.257997
AJnFf21SLFam2gqZq2SeYw1qarZKsLbCGdBKpRj3Wuhn,1650297981,38XEg5QjXYwA84B8GhUenEUJPcZXranyGorSHxSjtR4SxJUaqbpd1ZpuA81Dnn8XNFqBJKeb3Syc9QwpTwu5MQVE,USDC,GST,0.049355,11.17749429
EyZnUaBCoEQ2mfJmBP5zgsWc48D6V1bb5bu51AcQjGHW,1650293778,4w9tFP7xnc7QRXQMwBaS6Hjk7LpyXwecLhxnKBkSoPAwaFCKPUBcqXGxH44F6JJC47JBMZsn7Q4Sctj5K8TyfSK5,GMT,USDC,33.77391984,100
44PJ3JyrkUvJPDrauYzNAyKV2CB4FHQLKdxf4xX9HyQu,1650295411,41DRgM8tGWbw8STuSRk9WdrkJuEink9uxagXxZzYxRG9tScMYRKQzxL7gmcJPdx9uj2jVRedww7g2bH8FYobx5UW,SOL,USDC,5.69E-05,0
7R9x5Vs59Sd2XbhEToUZyL3PpfCmA9kvFJnFeADCZT6H,1650332959,4wnHJVasJ2PoVyfS4z4Rsr9Y98sYJHrzgF69GrDka1sEost4hiUQMz8N8nixGcweGmtF1HHH5bSF8GD8wVgk6zhQ,GMT,GST,20.53361158,16.00000014
96isGFBeDyhqUat1kTQ1ATBSZrvy37nyCzdGPEDUqYaC,1650328231,ALdchiD359tK1hGR29wXgS5VfLRupZhvGUZoyVdgeVUp88RsBRHNWU6G1EhxNn7SryHXEfZjenp6jC2JtB8LGP5,USDC,GST,2469.792052,559.5379999
HdGsWDaxSDBesEYXmAYsG7WZYkKxUv3qhGJgmXSXnm3d,1650298272,5zCYfA3Ae1FiGRNL9sajsrdvAk1vjaq9xvdDARganfteH9NMY9aCn2LPJGj6NZqrcVEKGTQAgXctHe1mUFeA898,BTC,SOL,0.000406,0.162377936
7Gjrkxi6zzm3xirgUaJtVCPhL1KV153irA6Edz73w1fP,1650297712,4VGVcXDWkexMDhcC93wgYyUiwVXEcbgpwhNTMkyXWbR9aokcqMCfAEJ6AgucPjLKJV9zcMyPMHPPAJRiUAmgghMU,USDC,AUDIO,269.56958,199.9999998
HdGsWDaxSDBesEYXmAYsG7WZYkKxUv3qhGJgmXSXnm3d,1650342835,3cFxwTTiqNJipkAHerciy5nDi1Gxn9q5xeRSStMBXEgWSBNtjVz52CQMUAt1A1nJTxRYWqVWickdV13uzBcfKYRk,SOL,USDC,19.35103466,1976.078681
ArEc5K66v362yRfx5NM4BApygSvNMFRyFiTbfonYr4cM,1650327458,3BURGnxA1LFoQHNM1firRppY4nu3iQKUCvrDNPx5mxXjX1jrKjysEXA8fbbxUvNT9NEab6aiYuxVwcZJuvw8PwCN,USDC,GST,0.65768,99.99999997
7FvRBZNdbYjqiHfsRSpx7YyBn9ZhdPZNvEskAeMXBj5z,1650302089,aurndAKrrBEj6P4e7XQEFQM8NjS4pVCsqKh3LWGmDxqSeXGCZxmYUpMfkDuUUESfJLunS8A6efXPyQ7CuPzvwiJ,GMT,GST,29.89721036,19.99999998
HdGsWDaxSDBesEYXmAYsG7WZYkKxUv3qhGJgmXSXnm3d,1650296112,5N8vbyQuYG7Ndn2AwmcRK6ZPMUAaswmtUSLuJ3NXgXmmqPh1GPdJZpfgW2zTXbTYuobRinQ41weyrBxQVwpWoekt,USDC,soETH,420.781557,0.144478
Cugajny8tX9fr3pQ6px1WUi9s91sws8AzrjimpHwuhFq,1650339759,j2mfNhqoNyc3BbMdvwN8tXbqkn9LeFfQpLmYYeRNXMivWwEyJXdirxdZdFF9UgT3pet6DtNkCHo6TuK4UHSQQLV,GMT,USDC,9.576984464,32
XPjDNZVtKyX817CW5LCyJdndZoZ4Vri55AajdsECo5o,1650298156,2GiCnZzMdBdc8V2uUC6GgKjEf7zr5xzjCc6WncBGjGC3Rp34XhmDsBXXZzPGGEA2sJhXv2cx9LTwuSUN6q7Hy9z1,ATLAS/USDC,ATLAS,0.160042,1.69341637
CwyQtt6xGptR7PaxrrksgqBSRCZ3Zb2GjUYjKD9jH3tf,1650337682,28GZU8c8fEZQDnRVCnPH23NM6JMwoUrNtPfpghxfxTkhrfmPstahxqNBtyEANpLDJitJx98X61kTAKgTjhX42ZVU,SOL,USDC,14.68062289,1495.329634
F7hnkwCWuPGYCWEMjDmAkokHntJ7eLKWBzixMxM3gxdr,1650302240,2LvhVuipTSyLsGpSEYmYjhUrYLk8XF7usGjbsw1GexfMVRhGnVvnoVoJywBmtkuJREQmjEMMSKYwATNh9zorhs44,GMT,GST,15.0077464,9.999999996
Eu3fKKE6C7rr1SKMXti9yJzrLG9RsiBRWpce5A8EfBL9,1650298620,2CqftLR7Zqjv7dGiLgUUkPhgtiGUSAbWm1KzS64t1od3rF3yYCiBNGZUvs7xwu6yJPRrFGCkMLGA7nijgK2MeS4o,GST,GMT,6.462759606,10.39999982
8GnqoarPr749mdzfDYYLQjCFm2fW6XuF5Ji4pVPpazeL,1650334149,32jh1MDDRq6DYz3o2E9wqivrGL2hQtz53EhQokS9w57gyQkSE3VbXbaaJ5tTGQf2PyL2CTkUmNBartBhmQ3w4Qky,USDC,SOL,0.015466,0
DiQiSQLSHjz5zExxRmXTw4uQN9axr9TeLRbcgNdSGJX3,1650335018,5nZfG9ZcfzCtUBo4AuRYn4TJ1U6z621M9XcQhL9jrBGCvUHyE1tSJSJr7TLCzih1N822uu2nMq1JtZ3d9UPKk9MG,GST,USDC,0.012942114,0.057188
EXjrHeWWUsZjE5Ue8PTmrsbj46SYoJNNiodEvo7X2pfT,1650300832,4dts9BgwTziEo7BdAvAmb4vvFN5B1xbto9A6oxgnEG4TpvyEwtUr9RweBvA67uiwxJ8XAgMLLHiJF4srwMnApWgK,USDC,GST,0.10714,30.87310814
HdGsWDaxSDBesEYXmAYsG7WZYkKxUv3qhGJgmXSXnm3d,1650298054,VgzY8FYVde2dEbZgyiKkNKxQ31KcYuxiUBZz5EomxnpiZtpCx68bT4A68iVNHNj8mx1qjsuhCgBNrVtHzNMkoAi,soFTT,SOL,0.266923,0.113345682
87WwaVrhRWudurbDNdyYG9Z9kCUY3i8oWdjtnRbPWJ5W,1650331404,TiHWa6uG2EnahSZDbcyjbWxCatiVGdu7Vf89NuMqunvnzdMZE9npovWmhrTcHZcwABFrXxnj5vBKLBBQ5X3cGJx,USDC,GST,68.939377,15.63999998
