chainId,address,symbol,name,decimals
101,NpgsBSfavf5hmUeGQAbMz5pHDtXhn9ZFNRQypTr8Tfv,NSPACE,My NFT Space,9
101,67Z7Pr4pX5iMczBox2bCgeU7Dy6SJRm2kZaMJoptstse,KOMO,Komondor,9
101,p31qJ7LDLNRC57rU5GsXxFGBsnXheFXSsEn3avPoKDc,ART,Artchive-Coin,8
101,BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,DIO,Decimated,9
101,7QTcx3LuVfPSZxVzFJcTmbpQCL35jkfoNSzx4qouX495,AKELA,AKELA,9
101,3EkHyexJLGCvSxzn5umbtd9N69GoT4p5pfdLTFqCNP9Y,HIPPO,Hippo Coin,9
101,BLT1noyNr3GttckEVrtcfC6oyK6yV1DpPgSyXbncMwef,BLT,Blocto Token,8
101,FoqP7aTaibT5npFKYKQQdyonL99vkW8YALNPwWepdvf5,BIP,BIP,9
101,2R78szN1fZeQvSmeiUPe7Db7BFTPee5EVE2FduQx8Wtw,USDMD,MONDOCOIN,9
101,BYLotMdQmq579hhP9xDcuCJky9kmMrbp77eoktmm7a5Y,CKG,CryptoKnight's Gold,6
101,F9tytWqLUAPXQTy6dejGtSgvJQZWYC71naD5bCi6caGX,INUGAMI,INUGAMI Coin,6
101,B7RDhZ2iqE4FEwK5nfcZ9r2xhVL6rQJCo1dcjDXnF688,LAT,Latte,8
101,7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn,JSOL,JPOOL Solana Token,9
101,7JYZmXjHenJxgLUtBxgYsFfoABmWQFA1fW3tHQKUBThV,WEED,Solana Weed,6
101,GaAzf7jwEKTouDXJExH9TKfvX3Ae7fLaGwNuEajq7KsE,BARK,Bark o Finance,1
101,5jFnsfx36DyGk8uVGrbXnVUMTsBkPXGpx6e69BiGFzko,INU,Solana INU,9
101,GJsBLZPMConURkFkewZskmJLFjnYVSENZtHjqV7GnohC,EMON,DORAEMON TOKEN FANS,9
101,7mNihWEjzWv9yCZc8capE4mS8v5Xvp5YH2yQhtZrQV5B,SBreakpoint,Solana Breakpoint,9
101,6Km8PRUQxPmNX6EhmAuu3sFEnCP6uT2Yt42zPFR6VNnD,RUG,RugCoin,8
101,JTTez7NDqtU4ZqZJmLLXt6K9f75izfTApQqmvMCn4jU,JTT,Japan Travel Token,0
101,7K1ad6gYMDbRssecDkGdGpaRueSezZpgD28uYsyaEA8f,SLNACK,SolNack,9
101,8hK6Vq53gwwYmvM2HuEeycGFn6ZDfynccHSuNJhWrTyd,1Coin,1Coin,10
101,3SaUThdYFoUX2FYUi9ZPf2TKTu3UYKhNHhXb2Y6najRg,HIT,Hello Token,9
101,9ae76zqD3cgzR9gvf5Thc2NN3ACF7rqqnrLqxNzgcre6,WIPE,WipeMyAss,9
101,FTkj421DxbS1wajE74J34BJ5a1o9ccA97PkK6mYq9hNQ,MINECRAFT,Synex Coin,9
101,EkDf4Nt89x4Usnxkj4sGHX7sWxkmmpiBzA4qdDkgEN6b,SOB,SolaLambo,9
101,Hj4sTP4L4rvR9WBR6KyK99sxPptBQQczNWe4y15mxhRD,SNJ,Sola Ninja,9
101,9YdABeMBMjh5Pu8yPkJ9GETGWUT8KUK3B2RYBpjKNPsU,GTA,GTA LIVE,8
