name,name2,account,mint_account,liquidity,price,apy_24h,apy_7d,apy_30d,volume_24h,volume_24h_quote,volume_7d,volume_7d_quote,volume_30d,volume_30d_quote
SAMO/SOL,SAMO/SOL[deprecated],Hj45HZesMQD4ghdU7GuskiMyYBfxLnfibqKNgdaj8284,9rguDaKqTrVjaDXafq6E7rKGn7NPHomkdb8RKpjKCDm2,39754.92792218096,0.00018602956989247313,0.02789370378290403,0.025373161620493197,0.05341349716562051,1998.2812884414138,19.895273680221166,12997.548830508531,129.40610145866717,117817.37102933216,1173.0124554891693
SOL/USDC,SOL/USDC[deprecated],6fTRDD7sYxCN7oyoSQaN1AWC3P2m8A6gVZzGrpej9DvL,ECFcUGwHHMaZynAQpqRHkYeTBnS5GnPWZywM8aggcs3A,64702.774539624734,100.49215542866749,0.09653171414147355,0.09116260000126404,0.1023849406948468,8531.065717519412,8535.495639756446,58125.67952530343,58155.86241789832,263767.9640533714,263904.9307124112
USDC/USDT,USDC/USDT[deprecated],8KZjKCNTshjwapD4TjWQonXBdi1Jm4Eks5rgrViK9UCx,3H5XKkE9uVvxsdrFeN4BLLGCmohiQN6aZJVVcJiXQ4WC,9558.7291088936,0.99951798216534,0,0,0.00226867490786587,0,0,0,0,650.6914880298497,650.7155645057363
ETH/USDC,ETH/USDC[deprecated],DY8qBwVGLeLJSrWib7L16mL7oB4HNAQ2f9yiYWKof54v,7TYb32qkwYosUQfUspU45cou7Bb3nefJocVMFX2mEGTT,538.025746126419,2959.485973220101,0.004004489435119783,0.010921403820597406,0.04227219560182419,2.5632654556373096,2.5645964812110584,63.4494102143132,63.48235755788574,2221.987219322159,2223.1410295164783
BTC/ETH,BTC/ETH[deprecated],Fz6yRGsNiXK7hVu4D2zvbwNXW8FQvyJ5edacs3piR1P7,8pFwdcuXM7pvHdEGHLZbUR8nNsjj133iUXWG6CgdRHk2,59.8353872,13.39474974222012,0,0,0.038569507516426356,0,0,0,0,9.031126813087486,0.0030531708829045407
ETH/SOL,ETH/SOL[deprecated],4vWJYxLx9F7WPQeeYzg9cxhDeaPjwruZXCffaSknWFxy,7bb88DAnQY7LSoWEuqezCcbk4vutQbuRqgJMqpX8h6dL,2824.31098076744,29.449920350457983,0.004447011080418721,0.008316108794746254,0.015818132793566708,21.26698957134895,0.2117382474248203,269.01168521984675,2.6783321905600035,2404.565697543176,23.940319569326725
RAY/SOL,RAY/SOL[deprecated],4c8jpn6sLMrZHMYNq6idFfMdLBWEqn1r1wFNtgsPqTwE,GWEmABT4rD3sGhyghv9rKbfdiaFe5uMHeJqr6hhu3XvA,21141.125519807,0.02558741537236161,0.017791498863878475,0.017599635409451902,0.04282891650506598,356.8295441730247,3.5526637213562795,3331.553121437588,33.169585040199,47402.225330698195,471.9456922610334
SOL/USDT,SOL/USDT[deprecated],4bS6bkBdJ4B1Bt4ft3oGF8La7eKpCqz8xnu1AMpMxWSP,BmZNYGt7aApGTUUxAQUYsW64cMbb6P7uniokCWaptj4D,8973.37197642951,100.44371641750745,0.03470989746475434,0.034297516810611675,0.05254900227268832,319.228715338673,319.2405272381808,2329.3021158527076,2329.3883032199265,15928.762809852158,15929.352195883404
SOL/SRM,SOL/SRM[deprecated],C4k1gxs9NnPhSWUbtEpnptYiduy2ZWX237gGD22N8QeC,6ojPekCSQimAjDjaMApLvh3jF6wnZeNEVRVVoGNzEXvV,2841.25920502464,42.20168067226891,0.013081007050035391,0.021060138917627647,0.03176679118236354,55.572961129295265,23.34998366777112,586.3508582780298,246.36590683950834,5098.873786558902,2142.383943932312
FTT/SOL,FTT/SOL[deprecated],G8Dd2ExLEvPkXMtiyeo7AM3W3Z6ueg5bpWQ4D4Raf6jo,YJRknE9oPhUMtq1VvhjVzG5WnRsjQtLsWg3nbaAwCQ5,200.13419657872,0.4104938271604938,0.0015066822696240107,0.012303964163739712,0.01135092543465173,0.5606508602374518,0.0055819480310379515,28.51993706014656,0.283949990642638,125.95088755074549,1.253991313727056
KIN/SOL,KIN/SOL[deprecated],7fAzYcD19gBD222pK3v7USX1URu1r6ThAGLR265DADjh,C9PKvetJPrrPD53PR2aR8NYtVZzucCRkHYzcFXbZXEqu,741.8300196646389,3.346276383910792e-07,0.013454279303687509,0.021890863962377573,0.026823497967520878,15.686411572038475,0.15617693719671918,202.48921015102806,2.016021606441936,1211.3903986752869,12.06083630700206
ROPE/SOL,ROPE/SOL[deprecated],4kMBJ8x85BgyYKi4t7ZSCh4gHK8U5QWjARzGuMCPiaeu,6SfhBAmuaGf9p3WAxeHJYCWMABnYUMrdzNdK5Stvvj4k,3451.3981500910763,3.4159697331740343e-07,0.0095360696820204,0.019919947361036115,0.025050382521008403,70.56750558037757,0.7025836875784306,643.9694673413237,6.411484143183231,4952.3016364259975,49.3060696577658
SOL/STEP,SOL/STEP[deprecated],8HmcgGvWKN9p9bivkMzaV2Ssf1i8xv3cPX3L1j3Lyr8a,9r1n79TmerAgQJboUT8QvrChX3buZBfuSrBTtYM1cW4h,2884.267096407766,904.3434416192466,0.014500868038843468,0.028989799926772385,0.056125976575352426,71.90480138199608,647.417717550206,1055.1330080796904,9500.225168188526,10032.89182931833,90334.32821902985
OXY/SOL,OXY/SOL[deprecated],31BnT6acXnJbWPeYyJis2baCMBQg9im59wWN2yzFoZvT,ELLELFtgvWBgLkdY9EFx4Vb3SLNj4DJEhzZLWy1wCh4Y,0,0.0023929410593389088,,,,0,0,0,0,0,0
